Title,Author,Year
The Dark Tower: The Gunslinger,Stephen King,First published in 1976
Artemis Fowl,Eoin Colfer,First published in 1999
The Colour of Magic,Terry Pratchett,First published in 1983
The Napoleon of Notting Hill,Gilbert Keith Chesterton,First published in 1904
Blade Runner,Philip K. Dick,First published in 1968
New Moon,Stephenie Meyer,First published in 2006
Tarzan of the Apes,Edgar Rice Burroughs,First published in 1912
A Game of Thrones: Book One of A Song of Ice and Fire,George R. R. Martin,First published in 1996
She,H. Rider Haggard,First published in 1886
Ranma 1/2. vol 23,高橋留美子,First published in 1992
The Left Hand of Darkness,Ursula K. Le Guin,First published in 1969
Breaking Dawn,Stephenie Meyer,First published in 2008
The Cat in the Hat (Beginner Book and Cassette Library/1-Audio Cassette),Dr. Seuss,First published in 1957
Hansel & Grethel & other tales,Brothers Grimm,First published in 1900
The Mysterious Island,Jules Verne,First published in 1870
Sons and Lovers,David Herbert Lawrence,First published in 1913
The life and adventures of Santa Claus,L. Frank Baum,First published in 1902
Coraline,Neil Gaiman,First published in 2002
The once and future king,T. H. White,First published in 1939
A  wizard of earthsea,Ursula K. Le Guin,First published in 1968
Catching Fire,Suzanne Collins,First published in 2009
The Amber Spyglass,Philip Pullman,First published in 1900
Percy Jackson and the Lightning Thief,Rick Riordan,First published in 2005
The Dark Tower: The drawing of the three,Stephen King,First published in 1987
The Illustrated Man,Ray Bradbury,First published in 1901
The Magic Finger,Roald Dahl,First published in 1966
The sword in the stone,T. H. White,First published in 1938
Herland,Charlotte Perkins Gilman,First published in 1915
So long and thanks for all the fish: Volume Four in the Trilogy of Five,Douglas Adams,First published in 1984
"Good omens: the nice and accurate prophecies of Agnes Nutter, witch",Neil Gaiman,First published in 1990
At the Back of the North Wind,George MacDonald,First published in 1882
American Gods,Neil Gaiman,First published in 2001
The Magic World,Edith Nesbit,First published in 1959
Skeleton Crew,Stephen King,First published in 1985
The Rainbow,David Herbert Lawrence,First published in 1915
The Price of Salt,Patricia Highsmith,First published in 1952
The Mysterious Stranger,Mark Twain,First published in 1916
The Waste Lands: The Dark Tower III,Stephen King,First published in 1991
The Martian,Andy Weir,First published in 2011
Wizard and Glass,Stephen King,First published in 1837
"The Eye of the World: Wheel of Time, Book 1",Robert Jordan,First published in 1990
The Haunted Hotel: A Mystery of Modern Venice,Wilkie Collins,First published in 1878
Witch Wood,John Buchan,First published in 1927
Dragonflight,Anne McCaffrey,First published in 1968
The Eyes of the Dragon,Stephen King,First published in 1959
"The Tombs of Atuan (The Earthsea Cycle, Book 2)",Ursula K. Le Guin,First published in 1971
Percy Jackson and the Sea of Monsters,Rick Riordan,First published in 2005
"The XI. bookes of The golden asse: containing the Metamorphosie [sic] of Lucius Apuleius, interlaced with sundry pleasant & delectable tales : with an excellent narrration of the marriage of Cupid & Psyches, set out in the iiij., v., & the vi. bookes",Lucius Apuleius,First published in 1500
La Caseta Magica (The Phantom Tollb,Norton Juster,First published in 1961
Night Shift,Stephen King,First published in 1960
"Life, The Universe And Everything: Volume Three in the Trilogy of Five",Douglas Adams,First published in 1900
The Voyages of Doctor Dolittle,Hugh Lofting,First published in 1922
Day of the Triffids,John Wyndham,First published in 1951
Artemis Fowl: the eternity code,Eoin Colfer,First published in 2003
Eragon,Christopher Paolini,First published in 1998
"The Farthest Shore (The Earthsea Cycle, Book 3)",Ursula K. Le Guin,First published in 1972
The Chronicles of Narnia Boxed Set,C.S. Lewis,First published in 1970
Stardust: The Visual Companion (Stardust),Neil Gaiman,First published in 1997
Room on the Broom Sticker Book,Julia Donaldson,First published in 2001
Cell: A Novel,Stephen King,First published in 2006
Something Wicked This Way Comes,Ray Bradbury,First published in 1962
Mort,Terry Pratchett,First published in 1987
A Clash of Kings,George R. R. Martin,First published in 1998
The Light Fantastic,Terry Pratchett,First published in 1986
The Magic City,Edith Nesbit,First published in 1910
Inkheart,Cornelia Funke,First published in 2003
Thumbelina/Minibook/Cassette/Rabbit Ears,Hans Christian Andersen,First published in 1911
Everything's Eventual: 14 Dark Tales,Stephen King,First published in 2002
Different Seasons,Stephen King,First published in 1982
Narn i chîn Húrin: The Children of Húrin,J.R.R. Tolkien,First published in 2001
The Dark Is Rising,Susan Cooper,First published in 1972
Night,Elie Wiesel,First published in 1955
Lost Horizon,James Hilton,First published in 1933
Dinosaurs Before Dark,Mary Pope Osborne,First published in 1992
The Violet fairy book,Andrew Lang,First published in 1906
