Title,Author,Year
The Ten Thousand Doors of January,Alix E. Harrow,First published in 2019
"Amulet, Book Four: The Last Council",Kazu Kibuishi,First published in 2011
"The Nursery ""Alice""",Lewis Carroll,First published in 1889
Akata witch,Nnedi Okorafor,First published in 2011
Dragonlance chronicles,Margaret Weis,First published in 1985
Monstrous Regiment: A Novel of Discworld,Terry Pratchett,First published in 2003
"The Sketch-Book of Geoffrey Crayon, Gent.",Washington Irving,First published in 1819
Women on top: How Real Life Has Changed Women's Sexual Fantasies,Nancy Friday,First published in 1991
Fire and Blood,George R.R. Martin,First published in 2021
To Say Nothing of the Dog,Connie Willis,First published in 1997
The Legacy,R. A. Salvatore,First published in 1992
The Pool of the Black One,Robert E. Howard,First published in 1986
Skulduggery Pleasant: Playing with Fire,Derek Landy,First published in 2008
Raising steam,Terry Pratchett,First published in 2013
Something under the bed is drooling: a Calvin and Hobbes collection,Bill Watterson,First published in 1988
Winter,Marissa Meyer,First published in 2015
The Shepherd's Crown,Terry Pratchett,First published in 2015
The Forgotten Warrior,Erin Hunter,First published in 2011
Of Fire and Stars,Audrey Coulthurst,First published in 2016
The Algebraist,Iain M. Banks,First published in 2004
Glory Road,Robert A. Heinlein,First published in 1963
The Language of Thorns: Midnight Tales and Dangerous Magic,Leigh Bardugo,First published in 2017
Ptolemy's Gate,Jonathan Stroud,First published in 2005
Night of the Ninjas (The Magic tree house series),Mary Pope Osborne,First published in 1995
Dolphins at Daybreak,Mary Pope Osborne,First published in 1997
The magic school bus lost in the solar system,Joanna Cole,First published in 1990
Assassin's Quest [Clothbound Edition],Robin Hobb,First published in 1997
Blood canticle,Anne Rice,First published in 2003
"Crossed (Matched Trilogy, Book 2)",Ally Condie,First published in 2009
The olive fairy book,Andrew Lang,First published in 1907
The Bane Chronicles,Cassandra Clare,First published in 2014
The scapegoat,Daphne du Maurier,First published in 1900
More Happy Than Not,Adam Silvera,First published in 2015
The Icebound Land,John Flanagan,First published in 2007
Twilight,Erin Hunter,First published in 2006
Kate Greenaway's original drawings for the Snow Queen,Hans Christian Andersen,First published in 1960
Forbidden Flowers,Nancy Friday,First published in 1975
Changes,Jim Butcher,First published in 2010
The  language of the night: essays on fantasy and science fiction,Ursula K. Le Guin,First published in 1979
Faith of the Fallen,Terry Goodkind,First published in 2000
HYBORIAN AGE (Annotated),Robert E. Howard,First published in 2012
Crystal keepers,Brandon Mull,First published in 2001
Apprentice's Quest,Erin Hunter,First published in 2016
Streams of Silver,R. A. Salvatore,First published in 1989
The Rithmatist,Brandon Sanderson,First published in 2013
Abhorsen,Garth Nix,First published in 2003
Young Elites,Marie Lu,First published in 2014
Beyond the deepwoods: the Edge chronicles,Paul Stewart,First published in 1998
The King of Elfland’s Daughter,Lord Dunsany,First published in 1924
"Black Leopard, Red Wolf: Dark Star Trilogy Book 1",Marlon James,First published in 2019
Beren and Lúthien,J.R.R. Tolkien,First published in 2017
The Princess and the Pea (Well Loved Tales Level 1),Hans Christian Andersen,First published in 1967
The Folk of the Faraway Tree,Enid Blyton,First published in 1946
"Lolly Willowes, or, The loving huntsman",Sylvia Townsend Warner,First published in 1926
Imajica,Clive Barker,First published in 1991
What Moves the Dead,T. Kingfisher,First published in 2022
Repossessed: A Fallen Angel Becoming A Body,A. M. Jenkins,First published in 2007
The Knight at Dawn,Mary Pope Osborne,First published in 1993
The diamond throne,David Eddings,First published in 1989
Legacy: Keeper of the Lost Cities #8,Shannon Messenger,First published in 2019
Unlocked Book 8. 5,Shannon Messenger,First published in 2020
All the Birds in the Sky,Charlie Jane Anders,First published in 2016
Red star rising,Anne McCaffrey,First published in 1989
Lockwood & Co.: The Creeping Shadow,Jonathan Stroud,First published in 2016
Downbelow Station (Alliance-Union Universe),C. J. Cherryh,First published in 1981
Tales from the Shadowhunter Academy,Cassandra Clare,First published in 2016
Clockwork Angel: The Infernal Devices Book 1,Cassandra Clare,First published in 2010
Wings of fire. The dragonet prophecy : the graphic novel,Tui T. Sutherland,First published in 2000
Journey,Kathryn Lasky,First published in 2003
The visitor,Katherine Applegate,First published in 1996
The Midwich Cuckoos,John Wyndham,First published in 1957
The wonderful visit,H. G. Wells,First published in 1895
Planet der Frauen,Joanna Russ,First published in 1975
The Burning Bridge,John Flanagan,First published in 2005
Lord Valentine's castle: a novel of Majipoor,Robert Silverberg,First published in 1980
The Hollow Hills,Mary Stewart,First published in 1973
The Sneetches and other stories,Dr. Seuss,First published in 1961
Ash Princess,Laura Sebastian,First published in 2018
Trickster's Choice: (Daughter of the Lioness #1),Tamora Pierce,First published in 2003
Untamed,P. C. Cast,First published in 2008
Vendetta!,Marie Corelli,First published in 1886
Dr. Seuss's Sleep Book (Classic Seuss): Book Club Edition,Dr. Seuss,First published in 1962
So you want to be a wizard,Diane Duane,First published in 1983
"Deadhouse Gates (The Malazan Book of the Fallen, Book 2)",Steven Erikson,First published in 2000
Valley of Silence,Nora Roberts,First published in 2006
The drowned world,J. G. Ballard,First published in 1962
Magicians' Guild,Trudi Canavan,First published in 2001
Kingdom of Flesh and Fire: A Blood and Ash Novel,Jennifer L. Armentrout,First published in 2020
The Goblin Emperor,Sarah Monette,First published in 2014
The Forgotten Beasts of Eld (FANTASY MASTERWORKS),Patricia A. McKillip,First published in 1974
Wolf Brother (Chronicles of Ancient Darkness),Michelle Paver,First published in 2004
Nation,Terry Pratchett,First published in 1998
Sexing the Cherry,Jeanette Winterson,First published in 1989
Soul of the Fire,Terry Goodkind,First published in 1999
Great day for up,Dr. Seuss,First published in 1974
Warriors : The Broken Code #1: Lost Stars,Erin Hunter,First published in 2016
The Iron Trial,Holly Black,First published in 2014
"A tale of a tub: to which is added The battle of the books, and the Mechanical operation of the spirit.",Jonathan Swift,First published in 1704
The prestige,Christopher Priest,First published in 1901
Place of the Lion,Charles Williams,First published in 1931
Every Heart a Doorway,Seanan McGuire,First published in 2016
The book of lost things,John Connolly,First published in 2006
Song of Ice and Fire,George R. R. Martin,First published in 2012
Brown Girl in the Ring,Nalo Hopkinson,First published in 1998
Cinderella: full-color picture book,Charles Perrault,First published in 1886
Moominland midwinter,Tove Jansson,First published in 1958
Poison Study,Maria V. Snyder,First published in 2005
GTO vol. 21: great teacher Onizuka.,Tohru Fujisawa,First published in 1997
The Slayer of Souls..,Robert W. Chambers,First published in 1920
The quest for paradise: the return to the Kingdom of Fantasy,Elisabetta Dami,First published in 2006
Fire and hemlock,Diana Wynne Jones,First published in 1970
Conan,Robert E. Howard,First published in 1967
On Night of 7th Moon,Victoria Holt,First published in 1879
Turn coat: a novel of the dresden files,Jim Butcher,First published in 2009
Wild born,Brandon Mull,First published in 2013
The Castle of Llyr,Lloyd Alexander,First published in 1966
The Twelve: a novel,Justin Cronin,First published in 2012
Demon slayer: Kimetsu no yaiba. Volume 1,Koyoharu Gotoge,First published in 2018
"Enchanters' End Game (The Belgariad, Book 5)",David Eddings,First published in 1984
The House on Hackman's Hill,Joan Lowery Nixon,First published in 1985
The Pillars of creation,Terry Goodkind,First published in 2001
Interworld,Neil Gaiman,First published in 2007
Bone: The Great Cow Race,Jeff Smith,First published in 1920
The Summoning,Kelley Armstrong,First published in 2008
Tress of the Emerald Sea: A Cosmere Novel,Brandon Sanderson,First published in 2023
"Avatar: the Last Airbender: The Promise, Part One",Gene Luen Yang,First published in 2001
Strange the Dreamer,Laini Taylor,First published in 2016
The Grey King: The Dark Is Rising #4,Susan Cooper,First published in 1975
La Belle Sauvage,Philip Pullman,First published in 1998
Key of Light,Nora Roberts,First published in 2003
Calamity,Brandon Sanderson,First published in 2016
Towers of midnight,Robert Jordan,First published in 2010
Small favor,Jim Butcher,First published in 2008
The Lancashire witches: a romance of Pendle forest,William Harrison Ainsworth,First published in 1849
SAINT ODD: target signed edition,Dean Koontz,First published in 2015
Dark Lord of Derkholm (Gollancz SF S.),Diana Wynne Jones,First published in 1998
Memories of ice: a tale of the Malazan book of the fallen,Steven Erikson,First published in 2001
A Darkness at Sethanon,Raymond E. Feist,First published in 1986
"Batman: haunted knight : the legends of the Dark Knight Halloween specials : three tales of Halloween in Gotham City / Jeph Loeb & Tim Sale, storytellers ; Gregory Wright, colorist ; Todd Klein, letterer.",Jeph Loeb,First published in 1994
The immortal,Christopher Pike,First published in 1990
Erak's Ransom (Ranger's Apprentice #7),John Flanagan,First published in 2007
Tailchaser's song,Tad Williams,First published in 1985
Le livre des légendes,Shannon Hale,First published in 2001
The Water Dancer: A Novel,Ta-Nehisi Coates,First published in 2019
"Swords and Devilry (Fafhrd and the Gray Mouser, 1)",Fritz Leiber,First published in 1970
Warriors: Omen of the Stars #2: Fading Echoes,Erin Hunter,First published in 2010
Odd and the frost giants,Neil Gaiman,First published in 2001
Mr. Penumbra's 24-hour Bookstore,Robin Sloan,First published in 2012
Mushoku Tensei: Jobless Reincarnation  Vol. 6,Rifujin na Magonote,First published in 2015
The Demon King,Cinda Williams Chima,First published in 2009
Sundays at Tiffany's,James Patterson,First published in 2008
"Silverthorn (Riftwar Saga, Volume 3)",Raymond E. Feist,First published in 1985
Fire,Kristin Cashore,First published in 2009
Magnus Chase and the Gods of Asgard,Rick Riordan,Unknown
Deathworld,Harry Harrison,First published in 1960
Blood of Elves,Andrzej Sapkowski,Unknown
The Book of Merlyn: The Unpublished Conclusion to The Once and Future King,T. H. White,First published in 1977
Behind the Attic Wall,Sylvia Cassedy,First published in 1983
Shadow of the giant,Orson Scott Card,First published in 2000
Windhaven,George R. R. Martin,First published in 1981
Nightmare hour,Robert Lawrence Stine,First published in 1999
Hell Bent,Leigh Bardugo,First published in 2023
John Burnet of Barns: a romance,John Buchan,First published in 1898
Children of Virtue and Vengeance,Tomi Adeyemi,First published in 2019
Hellboy Volume 8: Darkness Calls (Hellboy (Graphic Novels)),Michael Mignola,First published in 1997
The  surprising adventures of the magical monarch of Mo and his people.,L. Frank Baum,First published in 1903
La regenta,Leopoldo Alas,First published in 1884
Witch week,Diana Wynne Jones,First published in 1982
Harding’s Luck,Edith Nesbit,First published in 1909
From dead to worse,Charlaine Harris,First published in 2008
The Reluctant Dragon,Kenneth Grahame,First published in 1938
The ice dragon,George R. R. Martin,First published in 2006
Mind of my mind,Octavia E. Butler,First published in 1977
The acts of King Arthur and his noble knights,John Steinbeck,First published in 1976
"Five Weeks in a Balloon: or, Journeys and discoveries in Africa by three Englishmen",Jules Verne,First published in 1867
The Rise and Fall of D.O.D.O.,Neal Stephenson,First published in 2017
Daja's book,Tamora Pierce,First published in 1998
Horton hatches the egg,Dr. Seuss,First published in 1940
Dawn of Onyx: The Sacred Stones Book 1,Kate Golden,First published in 2022
"The Haunted and the Haunters, Or, The House and the Brain","Edward Bulwer Lytton, Baron Lytton",First published in 1859
Hollow City,Ransom Riggs,First published in 2015
The Outcasts,John Flanagan,First published in 2011
"All Together Dead (Southern Vampire Mysteries, Book 7)",Charlaine Harris,First published in 2007
The sandman: the wake,Neil Gaiman,First published in 1997
The Other Wind,Ursula K. Le Guin,First published in 2001
The Wizard of Oz,Rosemary Border,First published in 1950
Worldwar: upsetting the balance,Harry Turtledove,First published in 1994
The Plague Dogs: A Novel,Richard Adams,First published in 1981
Page: (Protector of the Small #2),Tamora Pierce,First published in 2000
The Swarm: A Novel,Frank Schätzing,First published in 2004
The story of Siegfried,James Baldwin,First published in 1882
"Gregor and the Code of Claw: Underland Chronicles, #5",Suzanne Collins,First published in 2007
Goosebumps: The Blob That Ate Everyone (Goosebumps),Robert Lawrence Stine,First published in 1994
Taran Wanderer,Lloyd Alexander,First published in 1900
Inversions,Iain M. Banks,First published in 1988
Memoirs of a space traveler: further reminiscences of Ijon Tichy,Stanisław Lem,First published in 1966
A Night in the Lonesome October,Roger Zelazny,First published in 1993
Stone of farewell.,Tad Williams,First published in 1990
In The Afterlight,Alexandra Bracken,First published in 2014
Island of Glass,Nora Roberts,First published in 2016
Red seas under red skies,Scott Lynch,First published in 2007
Darkest Night,Erin Hunter,First published in 2017
Pete the Cat: I Love My White Shoes,Eric Litwin,First published in 2008
Lone wolf,Kathryn Lasky,First published in 2010
Artifacts cycle.,J. Robert King,First published in 1999
The Rise of Endymion,Dan Simmons,First published in 1997
You can't scare me,Robert Lawrence Stine,First published in 1994
TERRIER (Beka Cooper),Tamora Pierce,First published in 2006
Lirael: daughter of the Clayr,Garth Nix,First published in 2001
The Last Hope: Omen of the Stars,Erin Hunter,First published in 2012
Batman: Year One,Frank Miller,First published in 1986
"Temple of the Winds (Sword of Truth, Book 4)",Terry Goodkind,First published in 1997
Dragonwatch: A Fablehaven Adventure,Brandon Mull,First published in 2006
Dawn of the Clans: The Sun Trail,Erin Hunter,First published in 2013
The Hungry Tide,Amitav Ghosh,First published in 2004
Ghost story,Jim Butcher,First published in 2011
Machines Like Me: and People Like You,Ian McEwan,First published in 2019
Artemis Fowl And The Lost Colony,Eoin Colfer,First published in 2006
Lock In: A Novel of the Near Future,John Scalzi,First published in 2014
Running Out of Time,Margaret Peterson Haddix,First published in 1995
Conan the Conqueror,Robert E. Howard,First published in 1950
Fairest,Gail Carson Levine,First published in 2006
Sophie the Sapphire Fairy,Daisy Meadows,First published in 2005
Sign Of The Moon,Erin Hunter,First published in 2011
The Chronicles of Pern: First Fall,Anne McCaffrey,First published in 1993
The Darkest Part of the Forest,Holly Black,First published in 2015
The Mummy: or Ramses the damned,Anne Rice,First published in 1989
Tuck everlasting,Natalie Babbitt,First published in 1975
Haunted: A Tale of the Mediator,Meg Cabot,First published in 2003
Kli͡uch istiny,Nora Roberts,First published in 2003
In a Glass Darkly,Joseph Sheridan Le Fanu,First published in 1872
Realms of the Gods,Tamora Pierce,First published in 1996
Red Sister,Mark Lawrence,First published in 2017
Seventh son,Orson Scott Card,First published in 1987
A New Beginning,John Flanagan,First published in 2013
Songs of love & death: tales of star-crossed love,George R. R. Martin,First published in 2010
Untitled: The Gormenghast Trilogy Volume 2,Mervyn Peake,First published in 1950
Living dead in Dallas,Charlaine Harris,First published in 2002
Conspiracy in death,Nora Roberts,First published in 1999
Emerald green,Kerstin Gier,First published in 2010
Sunshine,Robin McKinley,First published in 2003
Go Tell the Bees That I Am Gone: A Novel,Diana Gabaldon,First published in 2020
Elfquest Reader's Collection #5: Siege at Blue Mountain,Wendy Pini,First published in 1981
The book of the new Sun: the shadow of the torturer ; The claw of the conciliator ; The sword of the lictor ; The citadel of the autarch,Gene Wolfe,First published in 1983
The 13 1/2 lives of Captain Bluebear,Walter Moers,First published in 1998
School for Good and Evil #6: One True King,Soman Chainani,First published in 2020
Warriors : Dawn of the Clans #3: the First Battle,Erin Hunter,First published in 2014
Key of Valour,Nora Roberts,First published in 2003
The name of this book is secret,Pseudonymous Bosch,First published in 2007
The Humans : a novel,Matt Haig,First published in 2013
Doctor Dolittle in the moon,Hugh Lofting,First published in 1928
Empty world,Sam Youd,First published in 1977
The magician's elephant,Kate DiCamillo,First published in 2001
Seven Blind Mice (Reading Railroad),Ed Young,First published in 1992
Crookedstar's Promise,Erin Hunter,First published in 2011
The Lost Stories,John Flanagan,First published in 2011
Imogene's antlers,David Small,First published in 1985
Wings of fire: the graphic novel : The dragonet prophecy,Tui T. Sutherland,First published in 2018
Gregor and the Marks of Secret,Suzanne Collins,First published in 2006
Fairydale,Veronica Lancet,First published in 2022
Tris's book,Tamora Pierce,First published in 1998
To ride Pegasus,Anne McCaffrey,First published in 1973
How to Stop Time,Matt Haig,First published in 2017
Mary Poppins comes back,P. L. Travers,First published in 1935
Doctor Dolittle's post office,Hugh Lofting,First published in 1923
Tigana.,Guy Gavriel Kay,First published in 1990
"Confessor: Chainfire Trilogy, Part 3 (Sword Of Truth, Book 11)",Terry Goodkind,First published in 2007
The Legend of Drizzt: Homeland / Exile / Sojourn,R. A. Salvatore,First published in 1996
Exile,R. A. Salvatore,First published in 1990
Cruel beauty,Rosamund Hodge,First published in 2014
Nevermoor: The Trials of Morrigan Crow,Jessica Townsend,First published in 2017
"Night Whispers: After the sharp-eyed Jay and the roaring Lion, peace will come on Dove's gentle wing.",Erin Hunter,First published in 2010
An enchantment of ravens,Margaret Rogerson,First published in 2017
"Hotel Valhalla Guide to the Norse Worlds: Your Introduction to Deities, Mythical Beings and Fantastic Creatures",Rick Riordan,First published in 2016
A Great and Terrible Beauty,Libba Bray,First published in 2003
Ballad of Black Tom,Victor D. LaValle,First published in 2016
The Blinding Knife,Brent Weeks,First published in 2012
Finale,Stephanie Garber,First published in 2019
"Death Note, Vol. 8",Tsugumi Ohba,First published in 2005
The Purple Cloud,M. P. Shiel,First published in 1901
Adulthood Rites,Octavia E. Butler,First published in 1988
The bone season,Samantha Shannon,First published in 2013
The samurai's tale,Erik Christian Haugaard,First published in 1984
Inkdeath,Cornelia Funke,First published in 2007
The Obelisk Gate,N. K. Jemisin,First published in 2016
Gregor and the Curse of the Warmbloods,Suzanne Collins,First published in 2005
"The Magic of Recluce (Recluce series, Book 1)","L. E. Modesitt, Jr.",First published in 1991
The desert spear,Peter V. Brett,First published in 2010
The Icewind Dale Trilogy,R. A. Salvatore,First published in 1999
The Dangerous Gift: Wings of Fire #14,Tui T. Sutherland,First published in 2020
Chainfire,Terry Goodkind,First published in 2005
Warrior Heir,Cinda Williams Chima,First published in 2006
City We Became: A Novel,N. K. Jemisin,First published in 2020
The garden of Abdul Gasazi,Chris Van Allsburg,First published in 1979
The Fiery Cross,Diana Gabaldon,First published in 2001
Greenwitch,Susan Cooper,First published in 1974
"Dead Beat (The Dresden Files, Book 7)",Jim Butcher,First published in 2006
The Dolphins of Pern,Anne McCaffrey,First published in 1994
The street of crocodiles,Bruno Schulz,First published in 1963
Scar tissue,Anthony Kiedis,First published in 1969
Sky the blue fairy,Daisy Meadows,First published in 2003
The owl service,Alan Garner,First published in 1967
Lord of Shadows: The Dark Artifices Book 2,Cassandra Clare,First published in 2014
Eon: Dragoneye reborn,Alison Goodman,First published in 2008
War with the newts,Karel Čapek,First published in 1936
The Fall of Gondolin,J.R.R. Tolkien,First published in 1985
The Blazing World,Margaret Cavendish,First published in 2013
Searching for dragons,Patricia C. Wrede,First published in 1991
Night Land: from the Future-Archaic,William Hope Hodgson,First published in 2009
The Complete Works of Lewis Carroll,Lewis Carroll,First published in 1900
Warrior's woman.,Johanna Lindsey,First published in 1990
"Shadow's Edge: The perfect killer has no identity, but many faces.",Brent Weeks,First published in 2008
"Amulet, Book Eight: Supernova",Kazu Kibuishi,First published in 2018
Dogsbody,Diana Wynne Jones,First published in 1975
El príncipe Lestat y los reinos de la Atlántida,Anne Rice,First published in 2016
Icefire,Chris D'Lacey,First published in 2003
Malice,John Gwynne,First published in 2012
Loki: Where Mischief Lies,Mackenzi Lee,First published in 2019
Skulduggery Pleasant,Derek Landy,First published in 2010
At Swim-Two-Birds,Flann O'Brien,First published in 1939
Earthsea: The First Four Books,Ursula K. Le Guin,First published in 1977
Acheron,Sherrilyn Kenyon,First published in 2008
The enchanted typewriter,John Kendrick Bangs,First published in 1899
Bilbo's Last Song: (At the Grey Havens),J.R.R. Tolkien,First published in 1974
Definitely dead,Charlaine Harris,First published in 2006
Weaveworld,Clive Barker,First published in 1987
Walt Disney's Alice in Wonderland,Teddy Slater,First published in 1991
Belgarath the sorcerer,David Eddings,First published in 1995
Borne,Jeff VanderMeer,First published in 2017
The Halfling's Gem,R. A. Salvatore,First published in 1990
"Protector of the Small: Lady Knight, Book 4.",Tamora Pierce,First published in 2002
The Masterharper of Pern,Anne McCaffrey,First published in 1998
The 10th Kingdom,Kathryn Wesley,First published in 2000
Winter Turning,Tui T. Sutherland,First published in 2017
Leo the Lop,Stephen Cosgrove,First published in 1977
Red Star Rising (The Second Chronicles of Pern),Anne McCaffrey,First published in 1996
Fiasco,Stanisław Lem,First published in 1979
Tarnsman of Gor,John Norman,First published in 1966
The witches of Eastwick,John Updike,First published in 1984
The Return of the Indian (Indian in the Cupboard),Lynne Reid Banks,First published in 1986
Once Upon a Marigold: Upon a Marigold #1,Jean Ferris,First published in 2002
The warded man,Peter V. Brett,First published in 2009
A Little Hatred,Joe Abercrombie,First published in 2014
City of golden shadow,Tad Williams,First published in 1991
Airborn,Kenneth Oppel,First published in 1997
Final Friends: Book 2: The Dance,Christopher Pike,First published in 1988
The lost years of Merlin,T. A. Barron,First published in 1996
Moi qui n'ai pas connu les hommes: roman,Jacqueline Harpman,First published in 1995
Naruto Uzumaki Naruto,Masashi Kishimoto,First published in 2008
Ironside: A Modern Tale of Faerie,Holly Black,First published in 2007
Lanark: A Life in Four Books,Alasdair Gray,First published in 1981
Matter,Iain M. Banks,First published in 2008
Half Magic: Tales of Magic #1,Edward Eager,First published in 1954
Daughter of the empire,Raymond E. Feist,First published in 1987
The Healing in the Vine (Circle of Magic),Tamora Pierce,First published in 1999
The Legend of Luke,Brian Jacques,First published in 1999
The Discovery of America,Elisabetta Dami,First published in 2008
Halt's Peril,John Flanagan,First published in 2009
Cold days: a novel of the Dresden files,Jim Butcher,First published in 2012
Left behind: a novel of the Earth's last days,Tim F. LaHaye,First published in 1995
Briar Rose,Jane Yolen,First published in 1992
The lives of Christopher Chant,Diana Wynne Jones,First published in 1988
Sum: forty tales from the afterlives,David Eagleman,First published in 2008
A Storm of Swords Blood and Gold,George R. R. Martin,First published in 2001
Squire: (Protector of the Small #3),Tamora Pierce,First published in 2001
"Captain Underpants and the big, bad battle of the Bionic Booger Boy, part 1: the night of the nasty nostril nuggets",Dav Pilkey,First published in 2002
Deal with the Elf King,Elise Kova,First published in 2020
The Purcell papers,Joseph Sheridan Le Fanu,First published in 1880
Yellowfang's secret,Erin Hunter,First published in 2012
Armageddon's Children,Terry Brooks,First published in 2006
Doctor Dolittle's circus,Hugh Lofting,First published in 1924
City of stairs: a novel,Robert Jackson Bennett,First published in 2014
Rage of Dragons,Evan Winter,First published in 2017
Sky Raiders,Brandon Mull,First published in 2014
Any Way the Wind Blows,Rainbow Rowell,First published in 2021
Tarzan the Invincible (Tarzan Series #14),Edgar Rice Burroughs,First published in 1931
Warrior's refuge,Erin Hunter,First published in 2007
Red prophet,Orson Scott Card,First published in 1988
Hobbit and the Lord of the Rings Boxed Set,J.R.R. Tolkien,First published in 1979
The Book of Lost Tales: Part II,J.R.R. Tolkien,First published in 1984
Freshwater,Akwaeke Emezi,First published in 2018
The Lost Warrior,Erin Hunter,First published in 2007
The human chord,Algernon Blackwood,First published in 1910
Salamandastron: Redwall #5,Brian Jacques,First published in 1992
The Scar,China Miéville,First published in 2002
City of Heavenly Fire: The Mortal Instruments Book 6,Cassandra Clare,First published in 2014
Warriors Super Edition: Squirrelflight's Hope,Erin Hunter,First published in 2019
Cats of the Clans,Erin Hunter,First published in 2008
Bartholomew and the oobleck,Dr. Seuss,First published in 1949
Magician Apprentice Volume 1 TPB,Raymond E. Feist,First published in 1986
Tallstar's revenge,Erin Hunter,First published in 2013
The Riddle-Master of Hed  (Riddle-Master #1),Patricia A. McKillip,First published in 1976
"The exploits of Moominpappa, described by himself",Tove Jansson,First published in 1950
Year One,Nora Roberts,First published in 2017
Penguin Island,Anatole France,First published in 1908
Lost Boy: The True Story of Captain Hook,Christina Henry,First published in 2017
Paladin of souls,Lois McMaster Bujold,First published in 2003
Tales From Moominvalley,Tove Jansson,First published in 1963
Only You Can Save Mankind,Terry Pratchett,First published in 1992
Skulduggery Pleasant: Dark Days,Derek Landy,First published in 2010
The little island,Margaret Wise Brown,First published in 1946
The sleeper and the spindle,Neil Gaiman,First published in 2014
Vril: The Power of the Coming Race,"Edward Bulwer Lytton, Baron Lytton",First published in 1958
Jim Button and Luke the engine driver,Michael Ende,First published in 1960
Every soul a star,Wendy Mass,First published in 2008
Murtagh: The World of Eragon,Christopher Paolini,First published in 2023
Peter Ibbetson,George Du Maurier,First published in 1846
Goosebumps - Phantom of the Auditorium,Robert Lawrence Stine,First published in 1994
House of chains,Steven Erikson,First published in 1998
A kiss of shadows,Laurell K. Hamilton,First published in 2000
Busy!,Annie Kubler,First published in 2002
Night pleasures,Sherrilyn Kenyon,First published in 2002
Rise of the Evening Star,Brandon Mull,First published in 2007
The Hour of Magic,Elisabetta Dami,First published in 2013
Roverandom,J.R.R. Tolkien,First published in 1998
Another fine myth: Myth conceptions,Robert Asprin,First published in 1978
Animorphs: The Encounter,Katherine Applegate,First published in 1996
The Wind Singer,William Nicholson,First published in 2000
The Barking Ghost,R. L. Stine,First published in 1995
When the World Screamed,Arthur Conan Doyle,First published in 1968
The Stone Sky,N. K. Jemisin,First published in 2017
Baptism of fire,Andrzej Sapkowski,First published in 2014
The Vampire Diaries: The Struggle,Lisa Jane Smith,First published in 2010
King Arthur and his Knights of the Round Table,Roger Lancelyn Green,First published in 1953
Three Hearts and Three Lions,Poul Anderson,First published in 1953
Diary of an 8-Bit Warrior: Crafting Alliances (Book 3 8-Bit Warrior series): An Unofficial Minecraft Adventure (Volume 3),Cube Kid,First published in 2017
"Goosebumps, return of the mummy",Robert Lawrence Stine,First published in 1994
Deadlocked,Charlaine Harris,First published in 2001
Forest of Silence (Deltora Quest),Emily Rodda,First published in 2000
"Mad Ship (The Liveship Traders, Book 2)",Robin Hobb,First published in 1999
King in Yellow,Robert William Chambers,First published in 2016
Stranger and Stranger (Emily the Strange #2),Rob Reger,First published in 2006
The Elfstones of Shannara,Terry Brooks,First published in 1982
The  bloody chamber,Angela Carter,First published in 1978
War of the Twins,Margaret Weis,First published in 1986
Last Wish: Introducing the Witcher - Now a Major Netflix Show,Andrzej Sapkowski,First published in 2022
Dragon Republic,R. F. Kuang,First published in 2019
The children of Green Knowe,Lucy M. Boston,First published in 1954
The Djinn in the nightingale's eye: five fairy stories,A. S. Byatt,First published in 1994
Morrigan's Cross,Nora Roberts,First published in 2006
The Bremen town musicians: a retelling of the Grimms' fairy tale,Brothers Grimm,First published in 1922
Spinning silver,Naomi Novik,First published in 2018
Library of Souls (Miss Peregrine’s Peculiar Children #3),Ransom Riggs,First published in 2015
Running with the demon,Terry Brooks,First published in 1997
The people of paper,Salvador Plascencia,First published in 2005
The letters of J.R.R. Tolkien,J.R.R. Tolkien,First published in 1981
The Lost Sisters,Holly Black,First published in 2018
Naruto: Naruto returns,Masashi Kishimoto,First published in 2009
Harry Potter and the Methods of Rationality,Eliezer Yudkowsky,First published in 2015
The Hunters,John Flanagan,First published in 2012
Forest of a thousand daemons: a hunter's saga,D. O. Fagunwa,First published in 1968
A Kingdom of Flesh and Fire: A Blood and Ash Novel,Jennifer L. Armentrout,First published in 2020
The lunatic cafe,Laurell K. Hamilton,First published in 1996
Truckers,Terry Pratchett,First published in 1989
The Invisible Library,Genevieve Cogman,First published in 2014
"Silver on the Tree (The Dark Is Rising, Volume 5)",Susan Cooper,First published in 1977
The Invaders,John Flanagan,First published in 2012
Tygrysia Gwiazda i Sasza. Ucieczka w las,Erin Hunter,First published in 2000
Magicians of Caprona,Diana Wynne Jones,First published in 1980
The City of Mirrors,Justin Cronin,First published in 2015
Amber the orange fairy,Daisy Meadows,First published in 2003
Clockwork Angel: The Infernal Devices Book 1,Cassandra Clare,First published in 2011
Dragon's Kin,Anne McCaffrey,First published in 2003
The Sweetest Fig,Chris Van Allsburg,First published in 1993
Kare kano volume 1: his and her circumstances,Masami Tsuda,First published in 2002
Stranger with my face,Lois Duncan,First published in 1981
Blackout,Connie Willis,First published in 2010
Kings of the wyld,Nicholas Eames,First published in 2017
Always Coming Home,Ursula K. Le Guin,First published in 1985
Rapunzel's Revenge,Shannon Hale,First published in 2008
The Tail of Emily Windsnap: Emily Windsnap #1,Liz Kessler,First published in 2004
Mistress Masham's repose,T. H. White,First published in 1946
Club dead,Charlaine Harris,First published in 2003
Monstruos Oviparos De Marte/egg Monsters From Mars,Robert Lawrence Stine,First published in 1996
The Talisman,Stephen King,First published in 1925
